num_predictions,min_prediction,max_prediction,mean_prediction,std_prediction,model_type,environment,timestamp,allocation_scale,train_sharpe,context,std_allocation,std_overlay_allocation,oof_sharpe,oof_overlay_sharpe,preferred_scale,std_guard_triggered_folds,std_guard_threshold,std_raw_prediction,oof_scale_timestamp,overlay_mean_scale,overlay_breaches,pipeline_config_hash
10.0,0.1161672243363989,1.9014286128198323,1.0402734719053497,0.5993128814018872,baseline,local,2025-10-17T14:08:07.836866,,,,,,,,,,,,,,,
10.0,0.1161672243363989,1.9014286128198323,1.0402734719053497,0.5993128814018872,baseline,local,2025-11-08T09:01:36.027160,,,,,,,,,,,,,,,
10.0,0.0,0.0056006692727356,0.0022300731579229,0.0021031426034057,lightgbm,local,2025-11-08T16:59:39.075136,,,,,,,,,,,,,,,
10.0,0.6364384018227985,1.448053541818851,1.1139980775966851,0.2587671889568279,lightgbm,local,2025-11-08T17:01:32.518651,80.0,0.3825593293722812,,,,,,,,,,,,,
10.0,0.8182192009113993,1.2240267709094257,1.0569990387983423,0.1293835944784139,lightgbm,local,2025-11-08T17:02:07.378609,40.0,0.2719871067484695,,,,,,,,,,,,,
10.0,0.911780288394014,1.1193069594000888,1.0325671756449517,0.0617553122068092,ensemble,local,2025-11-08T17:53:32.112270,40.0,0.2409459923003734,,,,,,,,,,,,,
,,,,0.0012097504196898,lightgbm,,2025-11-09T09:51:25.635242,,,train_experiment,0.0483900167875928,0.0483900167875928,0.0419283931295079,0.0419283931295079,40.0,5.0,0.15,,,,,
,,,,0.0012097504196898,lightgbm,,2025-11-09T09:51:44.725526,,,train_experiment,0.0483900167875928,0.0483900167875928,0.0419283931295079,0.0419283931295079,40.0,5.0,0.15,,,,,
10.0,1.0002194799774582,1.025676629685056,1.010545974216763,0.0084953595436577,lightgbm,local,2025-11-09T09:51:56.830767,40.0,0.0419283931295079,,,,0.0419283931295079,,,,,0.0002123839885914,2025-11-09T01:51:44.724425+00:00,1.0,0.0,
,,,,0.0026514585896963,lightgbm,,2025-11-09T09:53:04.282755,,,train_experiment,0.1060583435878538,0.1010744150930879,0.0398462892577426,0.0402294207647891,40.0,5.0,0.15,,,,,
10.0,1.0002194799774582,1.025676629685056,1.010545974216763,0.0084953595436577,lightgbm,local,2025-11-09T09:53:15.559874,40.0,0.0398462892577426,,,,0.0398462892577426,,,,,0.0002123839885914,2025-11-09T01:53:04.281781+00:00,1.0,0.0,
,,,,0.0027372730248353,lightgbm,,2025-11-09T10:25:54.474149,,,train_experiment,0.1094909209934145,0.1094448490413303,0.0136627295830775,0.0124248320770342,40.0,3.0,0.1,,,,,
,,,,0.0027372730248353,baseline,,2025-11-09T10:29:14.996866,,,train_experiment,0.1094909209934145,0.1094448490413303,0.0136627295830775,0.0124248320770342,40.0,3.0,0.01,,,,,
,,,,0.0027372730248353,lightgbm,,2025-11-09T10:31:06.051940,,,train_experiment,0.1094909209934145,0.1094448490413303,0.0136627295830775,0.0124248320770342,40.0,3.0,0.01,,,,,
,,,,0.0043590838130072,lightgbm,,2025-11-09T10:31:16.133714,,,train_experiment,0.1743633525202888,0.1730818454923524,0.0141134684965089,0.0130033485170777,40.0,1.0,0.001,,,,,
,,,,0.0024197520667803,lightgbm,,2025-11-09T10:31:33.043464,,,train_experiment,0.0967900826712127,0.0952142226694003,0.041623082606802,0.0416411061850657,40.0,2.0,0.001,,,,,
,,,,0.0024218659131446,lightgbm,,2025-11-09T11:34:53.687387,,,train_experiment,0.096874636525786,0.0955559539727535,0.041770748505722,0.0418206336644319,40.0,2.0,0.01,,,,,
10.0,0.9935691933018962,1.0197713365137424,1.0103922742920128,0.0072696795590786,lightgbm,local,2025-11-09T11:35:05.106066,40.0,0.041770748505722,,,,0.041770748505722,,,,,0.0001817419889769,2025-11-09T03:34:53.686442+00:00,1.0,0.0,
,,,,0.0024218659131446,lightgbm,,2025-11-09T14:03:30.426438,,,train_experiment,0.096874636525786,0.0955559539727535,0.041770748505722,0.0418206336644319,40.0,2.0,0.15,,,,,
,,,,0.0020912998684436,lightgbm,,2025-11-09T14:06:50.199065,,,train_experiment,0.0836519947377464,0.0827403256271773,0.0364855301290232,0.0364764407118768,40.0,1.0,0.15,,,,,
,,,,0.0020861488345066,lightgbm,,2025-11-09T14:08:09.711991,,,train_experiment,0.0834459533802646,0.0820782454996408,0.0364076085312393,0.0364286417657401,40.0,1.0,0.15,,,,,
,,,,0.0020861488345066,lightgbm,,2025-11-09T14:09:09.436340,,,train_experiment,0.0834459533802646,0.0820782454996407,0.0364076085312393,0.0364286417657401,40.0,1.0,0.15,,,,,
,,,,0.0018500002616717,lightgbm,,2025-11-09T14:10:04.440577,,,train_experiment,0.0740000104668692,0.0720432572751019,0.0370045789272144,0.0370530284418017,40.0,2.0,0.15,,,,,
,,,,0.0008661429430432,lightgbm,,2025-11-09T14:33:21.812660,,,train_experiment,0.0346457177217314,0.0346457177217314,0.0416882611242296,0.0416882611242296,40.0,4.0,0.15,,,,,ae4ca48fa05431e5b084a41ac8de331816a44195251b79a5da8673a8f3926493
,,,,0.0015800888243337,lightgbm,,2025-11-10T22:23:46.042351,,,train_experiment,0.1549167278470852,0.1524941797684637,0.0361793848318913,0.0363242122342488,94.01032879730322,3.0,0.02,,,,,877989c84486f6c52bae306f0ff126b0f8e8da6b732500b4f600a31d580c15ec
10.0,0.9454204701563325,1.0505368197510947,0.9892265077074676,0.029051685835816375,lightgbm,local,2025-11-10T22:57:30.676026,94.01032879730322,0.03617938483189137,,,,0.03617938483189137,,,,,0.00030902653152564805,2025-11-10T14:23:46.041333+00:00,1.0,0.0,
